序列名称, 序列长度, GC含量
MG137464.1 Equine arteritis virus strain KY84-L140E-S107, complete genome, 12704, 51.53
MG137465.1 Equine arteritis virus strain KY84-L140E-S170, complete genome, 12704, 51.53
MG137466.1 Equine arteritis virus strain KY84-L140E-S380, complete genome, 12704, 51.57
MG137467.1 Equine arteritis virus strain KY84-L140E-S548, complete genome, 12704, 51.51
MG137468.1 Equine arteritis virus strain KY84-L140E-S726, complete genome, 12704, 51.52
MG137469.1 Equine arteritis virus strain KY84-L141F-BC6, complete genome, 12704, 51.55
MG137470.1 Equine arteritis virus strain KY84-L141F-NS6, complete genome, 12704, 51.55
MG137471.1 Equine arteritis virus strain KY84-L141F-S5, complete genome, 12704, 51.53
MG137472.1 Equine arteritis virus strain KY84-L141F-S9, complete genome, 12704, 51.56
MG137473.1 Equine arteritis virus strain KY84-L141F-S107, complete genome, 12704, 51.50
MG137474.1 Equine arteritis virus strain KY84-L141F-S170, complete genome, 12704, 51.53
MG137475.1 Equine arteritis virus strain KY84-L141F-S345, complete genome, 12704, 51.49
MG137476.1 Equine arteritis virus strain KY84-L142G-BC6, complete genome, 12704, 51.55
MG137477.1 Equine arteritis virus strain KY84-L142G-NS6, complete genome, 12704, 51.55
MG137478.1 Equine arteritis virus strain KY84-L142G-S5, complete genome, 12704, 51.57
MG137479.1 Equine arteritis virus strain KY84-L142G-S9, complete genome, 12704, 51.56
MG137480.1 Equine arteritis virus strain KY84-L142G-S107, complete genome, 12704, 51.52
MG137481.1 Equine arteritis virus strain KY84-L142G-S170, complete genome, 12704, 51.50
AF531433.1 Classical swine fever virus strain HCLV, complete genome, 12310, 46.99
KT355592.1 Bovine viral diarrhea virus type 1b strain HP-KY-RK13, complete genome, 12271, 45.53
EF569215.1 Expression vector PPV-NK-GFP, complete sequence, 10712, 44.23
EF569214.1 Expression vector PPV-D, complete sequence, 9975, 42.97
GU253313.1 Lentivirus shuttle vector pLV.pA+.GS.Luc, complete sequence, 9698, 48.67
L03561.2 Human T Cell Lymphotropic Virus I complete genome, 9043, 53.75
L03562.2 Human T cell lymphotrophic virus type I (HTLV-I) (gag, env, rex, tat) genes, complete cds; (pol) gene, 3' end, 9033, 53.75
NC_003983.1 Equine rhinitis B virus 1, complete genome, 8828, 48.79
AF361253.1 Equine rhinovirus 3 strain P313/75, complete genome, 8821, 50.40
GU253312.1 Lentivirus shuttle vector pLV.pA+.GS.DsRed, complete sequence, 8709, 50.21
AJ866991.1 Rabbit vesivirus complete virion genome, 8380, 47.74
NC_008580.1 Rabbit vesivirus, complete genome, 8380, 47.74
KT325852.1 Rabbit picornavirus strain Rabbit01/2013/HUN, complete genome, 8364, 55.16
MK816960.1 Cloning vector pKF-D2irTNP2AG-T2APuroR-5kwh, complete sequence, 8198, 53.31
DQ533483.2 Foot-and-mouth disease virus - type Asia 1 strain ZB/CHA/58(att), complete genome, 8193, 53.30
JF303889.1 Cottontail rabbit papillomavirus strain Hershey, complete genome, 7871, 46.46
MN061492.1 Rabbit hemorrhagic disease virus 2 isolate RHDV2-NL2016, complete genome, 7473, 50.84
KM878681.1 Rabbit hemorrhagic disease virus isolate RHDV-N11, complete genome, 7472, 50.39
AF258618.2 Rabbit hemorrhagic disease virus isolate Iowa2000, complete genome, 7467, 49.99
DQ205345.1 Rabbit hemorrhagic disease virus strain JX/CHA/97 polyprotein (RHDV), major capsid protein VP60 (VP60), and structural protein VP12 (VP12) mRNAs, complete cds, 7464, 49.84
MN901451.1 Rabbit hemorrhagic disease virus 2 strain Bremerhaven-17 polyprotein and VP10 genes, complete cds, 7464, 50.87
JF412629.1 Rabbit hemorrhagic disease virus isolate HYD, complete genome, 7449, 50.02
EU003578.1 Rabbit hemorrhagic disease virus isolate IN-05, complete genome, 7447, 50.44
EU003582.1 Rabbit hemorrhagic disease virus isolate UT-01, complete genome, 7447, 50.52
EU003579.1 Rabbit hemorrhagic disease virus isolate Italy-90, complete genome, 7445, 50.24
EU003581.1 Rabbit hemorrhagic disease virus isolate NY-01, complete genome, 7445, 50.03
MF407654.1 Rabbit hemorrhagic disease virus isolate PSM2, complete genome, 7442, 50.20
MF407656.1 Rabbit hemorrhagic disease virus isolate CBMad17-2, complete genome, 7442, 50.12
MF407657.1 Rabbit hemorrhagic disease virus isolate CBMad17-3, complete genome, 7442, 50.13
KX844830.1 Rabbit hemorrhagic disease virus isolate SCH04, complete genome, 7441, 50.22
KY235678.1 Rabbit hemorrhagic disease virus isolate Korea/2719, complete genome, 7441, 50.24
DQ189077.1 Rabbit hemorrhagic disease virus from Bahrain, complete genome, 7439, 50.38
EF558574.1 Rabbit hemorrhagic disease virus strain Wika, complete genome, 7439, 50.17
EF558578.1 Rabbit hemorrhagic disease virus strain Eisenhuttenstadt, complete genome, 7439, 50.72
EF558584.1 Rabbit hemorrhagic disease virus strain Rossi, complete genome, 7439, 50.33
EF558576.1 Rabbit hemorrhagic disease virus strain Jena, complete genome, 7439, 50.37
EF558577.1 Rabbit hemorrhagic disease virus strain Meiningen, complete genome, 7439, 50.10
KY235675.1 Rabbit hemorrhagic disease virus isolate QC/Canada/WIN-AH-2016-OTH-0018, complete genome, 7439, 50.57
KY235677.1 Rabbit hemorrhagic disease virus isolate Mexico/2718, complete genome, 7439, 50.69
EF558580.1 Rabbit hemorrhagic disease virus strain NZ61, complete genome, 7438, 50.05
KY171748.1 Rabbit hemorrhagic disease virus strain Sch07, complete genome, 7438, 50.23
M67473.1 Rabbit hemorrhagic disease virus-FRG, complete genome, 7437, 50.18
Z29514.1 RHDV-SD complete genome, 7437, 50.63
X87607.1 RHDV-BS89 complete genome, 7437, 50.22
U54983.1 RHDV-V351, complete genome, 7437, 50.29
NC_001543.1 Rabbit hemorrhagic disease virus-FRG, complete genome, 7437, 50.18
AY523410.1 Rabbit hemorrhagic disease virus isolate CD/China, complete genome, 7437, 50.14
DQ280493.1 Rabbit hemorrhagic disease virus, complete genome, 7437, 50.33
EF363035.1 Rabbit hemorrhagic disease virus clone pJG-RHDV-DD06, complete genome, 7437, 50.29
EF558586.1 Rabbit hemorrhagic disease virus strain Hartmannsdorf, complete genome, 7437, 50.17
AB300693.2 Rabbit hemorrhagic disease virus genomic RNA, complete genome, 7437, 50.32
HM623309.1 Rabbit hemorrhagic disease virus isolate NJ-2009, complete genome, 7437, 50.06
KY437668.1 Rabbit hemorrhagic disease virus strain HB, complete genome, 7437, 50.11
MH190418.1 Rabbit hemorrhagic disease virus strain lagovirus europaeus/GI.1d/O cun/FR/2000/00-21, complete genome, 7437, 50.28
MG602006.1 Rabbit hemorrhagic disease virus strain RED2016 polyprotein and minor stuctural protein genes, complete cds, 7437, 49.93
MG602007.1 Rabbit hemorrhagic disease virus strain VMS polyprotein and minor structural protein genes, complete cds, 7437, 50.02
KY235676.1 Rabbit hemorrhagic disease virus isolate MB/Canada/WIN-AH-2011-OTH-026, complete genome, 7436, 50.12
MF407651.1 Rabbit hemorrhagic disease virus isolate CBPico17-1, complete genome, 7433, 49.94
MF407652.1 Rabbit hemorrhagic disease virus isolate CBPico17-2, complete genome, 7433, 49.99
MH204883.1 Hare calicivirus strain E15-431, complete genome, 7433, 49.01
MF407653.1 Rabbit hemorrhagic disease virus isolate 16PLM1, complete genome, 7430, 50.55
KF677011.2 Rabbit hemorrhagic disease virus strain STR2012, complete genome, 7428, 50.07
KP144789.2 Rabbit hemorrhagic disease virus strain PD 1989, complete genome, 7428, 50.23
KP144790.2 Rabbit hemorrhagic disease virus strain KGM 1988, complete genome, 7428, 50.34
KP144792.2 Rabbit hemorrhagic disease virus strain BLA 1994, complete genome, 7428, 50.23
KU882092.1 Rabbit hemorrhagic disease virus strain GSK, complete genome, 7428, 50.32
KU882093.1 Rabbit hemorrhagic disease virus strain MAL, complete genome, 7428, 50.44
KU882094.1 Rabbit hemorrhagic disease virus strain OPO, complete genome, 7428, 50.13
KU882095.1 Rabbit hemorrhagic disease virus strain ZD0, complete genome, 7428, 50.30
KP144791.2 Rabbit hemorrhagic disease virus strain GRZ 2004, complete genome, 7428, 49.97
KY319031.1 Rabbit hemorrhagic disease virus strain BIE 2015, complete genome, 7428, 50.13
KY319032.1 Rabbit hemorrhagic disease virus strain GLE 2013, complete genome, 7428, 49.92
KY319033.1 Rabbit hemorrhagic disease virus strain KRY, complete genome, 7428, 50.32
KY319034.1 Rabbit hemorrhagic disease virus strain SKO 2013, complete genome, 7428, 49.97
KY319035.1 Rabbit hemorrhagic disease virus strain W147/05, complete genome, 7428, 49.99
KY679902.1 Rabbit hemorrhagic disease virus strain L145, complete genome, 7428, 49.99
KY679903.1 Rabbit hemorrhagic disease virus strain RED1-2013, complete genome, 7428, 50.28
KY679904.1 Rabbit hemorrhagic disease virus strain STR2-2013, complete genome, 7428, 49.95
KY679905.1 Rabbit hemorrhagic disease virus strain STR2014, complete genome, 7428, 50.05
MG602005.1 Rabbit hemorrhagic disease virus strain BBI polyprotein and minor structural protein genes, complete cds, 7428, 50.03
EF558572.1 Rabbit hemorrhagic disease virus strain Frankfurt12, complete genome, 7425, 50.20
EF558582.1 Rabbit hemorrhagic disease virus strain Dachswald, complete genome, 7425, 50.20
EU871528.1 Rabbit calicivirus Australia 1 MIC-07, complete genome, 7422, 47.87
NC_011704.1 Rabbit calicivirus Australia 1 MIC-07, complete genome, 7422, 47.87
KM979445.1 Rabbit hemorrhagic disease virus isolate CBVal16, complete genome, 7421, 50.33
MF407655.1 Rabbit hemorrhagic disease virus isolate CBMad17-1, complete genome, 7421, 48.48
EF558575.1 Rabbit hemorrhagic disease virus strain Ascot, complete genome, 7419, 50.16
EF558581.1 Rabbit hemorrhagic disease virus strain Erfurt, complete genome, 7416, 50.13
EF558573.1 Rabbit hemorrhagic disease virus strain Frankfurt5, complete genome, 7415, 50.32
EF558579.1 Rabbit hemorrhagic disease virus strain NZ54, complete genome, 7405, 50.20
EF558583.1 Rabbit hemorrhagic disease virus strain Triptis, complete genome, 7403, 50.48
GQ166866.1 Rabbit calicivirus strain MRCV polyprotein gene, partial cds; and VP12 gene, complete cds, 7387, 49.67
KT006745.1 Rabbit hemorrhagic disease virus isolate AUS/SA/Bulgania/2009 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7387, 49.83
KT006724.1 Rabbit hemorrhagic disease virus isolate NZL/Canterbury/Hawarden/320/2013 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 49.58
KT006731.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/Hall/WAT1-13/2007 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.18
KT006732.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/Murrumbateman/BlueGums/2014 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.04
KT006733.1 Rabbit hemorrhagic disease virus isolate AUS/WA/Gnowangerup/1999 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.12
KT006734.1 Rabbit hemorrhagic disease virus isolate AUS/SA/FlindersRanges/1999 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.08
KT006735.1 Rabbit hemorrhagic disease virus isolate AUS/WA/Bunbury/2000 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.47
KT006736.1 Rabbit hemorrhagic disease virus isolate AUS/SA/Robe/2000 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.12
KT006739.1 Rabbit hemorrhagic disease virus isolate AUS/SA/Coorong/2004 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 49.80
KT006740.1 Rabbit hemorrhagic disease virus isolate AUS/SA/BillaKallina/2004 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.27
KT006741.1 Rabbit hemorrhagic disease virus isolate AUS/SA/Woodcroft/2005 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.09
KT006742.1 Rabbit hemorrhagic disease virus isolate AUS/SA/FlindersRanges/2006 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 49.88
KT006743.1 Rabbit hemorrhagic disease virus isolate AUS/TAS/SouthArm/2007 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.23
KT006746.1 Rabbit hemorrhagic disease virus isolate AUS/WA/WonganHills/2012 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 49.61
KT006747.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/Grafton/2013 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.18
KT344770.1 Rabbit hemorrhagic disease virus isolate AUS/CSIRO/Master polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.22
KT344771.1 Rabbit hemorrhagic disease virus isolate AUS/CSIRO/Working polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.20
KT344772.1 Rabbit hemorrhagic disease virus isolate AUS/CSIRO/Release polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.20
KT344773.1 Rabbit hemorrhagic disease virus isolate AUS/EMAI/Batch-1A polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.20
KT344774.1 Rabbit hemorrhagic disease virus isolate AUS/EMAI/Batch-1D polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.20
KT344775.1 Rabbit hemorrhagic disease virus isolate NZL/V351/Control polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.20
KX357653.1 Rabbit hemorrhagic disease virus isolate AUS/ACT/AIN-1/2009 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 49.97
KX357654.1 Rabbit hemorrhagic disease virus isolate AUS/ACT/AIN-2/2009 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 49.97
KX357670.1 Rabbit hemorrhagic disease virus isolate AUS/ACT/MtPt-2/2010 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 49.89
KX357671.1 Rabbit hemorrhagic disease virus isolate AUS/ACT/MtPt-4/2010 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 49.96
KX357672.1 Rabbit hemorrhagic disease virus isolate AUS/ACT/PI-1/2009 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.03
KX357677.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/M2/2007 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.01
KX357678.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/M9/2007 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 49.92
KX357695.1 Rabbit hemorrhagic disease virus isolate AUS/SA/ORA383/2008 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 50.05
KX357706.1 Rabbit hemorrhagic disease virus isolate AUS/WA/B.Hill/2013 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7386, 49.72
KT006738.1 Rabbit hemorrhagic disease virus isolate AUS/SA/OneTreeHill/2003 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7385, 49.98
KT280060.1 Rabbit hemorrhagic disease virus isolate BLMT-1 polyprotein gene, partial cds; and minor structural protein gene, complete cds, 7385, 50.36
MF421574.1 Rabbit hemorrhagic disease virus isolate AUS/SA/MEA-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 49.98
MF421575.1 Rabbit hemorrhagic disease virus isolate AUS/SA/MUN-2/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.24
MF421577.1 Rabbit hemorrhagic disease virus isolate AUS/SA/WIT-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.01
MF421578.1 Rabbit hemorrhagic disease virus isolate AUS/VIC/HAM-4/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.36
MF421580.1 Rabbit hemorrhagic disease virus isolate AUS/ACT/ARA-1/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.32
MF421581.1 Rabbit hemorrhagic disease virus isolate AUS/ACT/TUG-1/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.30
MF421582.1 Rabbit hemorrhagic disease virus isolate AUS/ACT/TUG-3/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.30
MF421585.1 Rabbit hemorrhagic disease virus isolate AUS/ACT/MFBM-2/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.32
MF421589.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/RUS-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.35
MF421593.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/BRH-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.10
MF421595.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/SGA-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.10
MF421597.1 Rabbit hemorrhagic disease virus isolate AUS/SA/PAR-1/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.14
MF421598.1 Rabbit hemorrhagic disease virus isolate AUS/SA/CRA-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.20
MF421599.1 Rabbit hemorrhagic disease virus isolate AUS/SA/LYN-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.03
MF421600.1 Rabbit hemorrhagic disease virus isolate AUS/SA/MUN-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.03
MF421602.1 Rabbit hemorrhagic disease virus isolate AUS/SA/MAC-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.10
MF421603.1 Rabbit hemorrhagic disease virus isolate AUS/SA/KAL-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.21
MF421604.1 Rabbit hemorrhagic disease virus isolate AUS/SA/KAL-2/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.21
MF421605.1 Rabbit hemorrhagic disease virus isolate AUS/SA/LH-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.10
MF421606.1 Rabbit hemorrhagic disease virus isolate AUS/SA/MAC-2/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.07
MF421607.1 Rabbit hemorrhagic disease virus isolate AUS/SA/CV-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.14
MF421608.1 Rabbit hemorrhagic disease virus isolate AUS/SA/TUR-1607/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.25
MF421609.1 Rabbit hemorrhagic disease virus isolate AUS/SA/TUR-1606/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.25
MF421610.1 Rabbit hemorrhagic disease virus isolate AUS/SA/STR-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.20
MF421611.1 Rabbit hemorrhagic disease virus isolate AUS/SA/KAL-3/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.21
MF421612.1 Rabbit hemorrhagic disease virus isolate AUS/SA/MTO-2/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.05
MF421613.1 Rabbit hemorrhagic disease virus isolate AUS/SA/BLAK-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.09
MF421614.1 Rabbit hemorrhagic disease virus isolate AUS/SA/WS-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.06
MF421615.1 Rabbit hemorrhagic disease virus isolate AUS/SA/MTO-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.14
MF421616.1 Rabbit hemorrhagic disease virus isolate AUS/SA/LEA-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 49.93
MF421617.1 Rabbit hemorrhagic disease virus isolate AUS/SA/CRK-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.10
MF421618.1 Rabbit hemorrhagic disease virus isolate AUS/SA/BRA-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.17
MF421619.1 Rabbit hemorrhagic disease virus isolate AUS/SA/COL-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.02
MF421620.1 Rabbit hemorrhagic disease virus isolate AUS/SA/COL-2/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.13
MF421621.1 Rabbit hemorrhagic disease virus isolate AUS/SA/ORO-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.06
MF421622.1 Rabbit hemorrhagic disease virus isolate AUS/VIC/HAM-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.36
MF421623.1 Rabbit hemorrhagic disease virus isolate AUS/VIC/HAM-2/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.32
MF421626.1 Rabbit hemorrhagic disease virus isolate AUS/VIC/HAM-3/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.37
MF421627.1 Rabbit hemorrhagic disease virus isolate AUS/VIC/BAH-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.17
MF421628.1 Rabbit hemorrhagic disease virus isolate AUS/WA/PIC-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.24
MF421629.1 Rabbit hemorrhagic disease virus isolate AUS/WA/CHI-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.24
MF421630.1 Rabbit hemorrhagic disease virus isolate AUS/WA/CHI-2/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.21
MF421631.1 Rabbit hemorrhagic disease virus isolate AUS/WA/PIC-2/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.13
MF421632.1 Rabbit hemorrhagic disease virus isolate AUS/WA/WNN-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.20
MF421633.1 Rabbit hemorrhagic disease virus isolate AUS/WA/MTBA-1/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.20
MF421634.1 Rabbit hemorrhagic disease virus isolate AUS/WA/MTBA-2/2016 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.20
MF421639.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/TAR-2/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.25
MF421640.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/MER-1/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.10
MF421641.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/BOC-1/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.05
MF421642.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/COW-1/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.20
MF421643.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/ORAN-1/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.17
MF421644.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/WES-1/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.20
MF421645.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/EOR-1/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.14
MF421646.1 Rabbit hemorrhagic disease virus isolate AUS/NSW/HIL-1/2015 polyprotein gene, partial cds; and VP10 gene, complete cds, 7385, 50.47
